OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,Shape__Area,Shape__Length
41,2O3,PARRETT FIELD AIRPORT,PARRETT FIELD,Angwin,Napa,Community,COMMUNITY,Not a NPIAS Facility,01244.8*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=2O3,399053.02540814,4875.757405840125
42,T42,RUTH AIRPORT,RUTH,Ruth,Trinity,Community,COMMUNITY-Recreation,General Aviation,02119.8*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=T42,419614.600348645,5481.299723055038
43,SNS,SALINAS MUNICIPAL AIRPORT,SALINAS MUNICIPAL,Salinas,Monterey,Regional,REGIONAL-Business/Corporate,General Aviation,02137.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=SNS,4467115.929553085,14202.79868528099
44,SQL,SAN CARLOS AIRPORT,SAN CARLOS,San Carlos,San Mateo,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02160.1*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=SQL,709242.25789959,4902.061189081907
45,SZP,SANTA PAULA AIRPORT,SANTA PAULA,Santa Paula,Ventura,Community,COMMUNITY-Recreation,Not a NPIAS Facility,02256.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=SMO,261495.43528223,3301.343354361757
46,1Q2,SPAULDING AIRPORT,SPAULDING,Susanville,Lassen,Limited Use,LIMITED USE,Not a NPIAS Facility,02332.1*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=VCV,545729.07604541,5869.276745409597
47,SVE,SUSANVILLE MUNICIPAL AIRPORT,SUSANVILLE MUNI,Susanville,Lassen,Regional,REGIONAL,General Aviation,02332.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=SVE,908123.20996968,5507.082844957108
48,TCY,TRACY MUNICIPAL AIRPORT,TRACY MUNI,Tracy,San Joaquin,Regional,REGIONAL-Business/Corporate,General Aviation,02359.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=TCY,1879000.356619235,7010.0973598517985
49,A26,ADIN AIRPORT,ADIN,Adin,Modoc,Limited Use,LIMITED USE,Not a NPIAS Facility,01217.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=A26,833156.96005709,4312.517422844138
50,AAT,ALTURAS MUNICIPAL AIRPORT,ALTURAS MUNI,Alturas,Modoc,Community,COMMUNITY,General Aviation,01234.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=AAT,1196744.94927677,6754.453642383113
51,S51,ANDY MCBETH AIRPORT,ANDY MCBETH,Klamath Glen,Del Norte,Community,COMMUNITY,Not a NPIAS Facility,01722.5*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=S51,192084.192493755,2835.5304554328145
52,SDM,BROWN FIELD,BROWN FIELD,San Diego,San Diego,Regional,REGIONAL-Business/Corporate,Reliever,02180.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=SDM,3065098.25867924,9683.857808209628
53,A32,BUTTE VALLEY AIRPORT,BUTTE VALLEY,Dorris,Siskiyou,Limited Use,LIMITED USE-Agriculture,General Aviation,01512.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=A32,1707443.61569768,6063.298381265357
54,AJO,CORONA MUNICIPAL AIRPORT,CORONA MUNI,Corona,Riverside,Regional,REGIONAL-Recreation,General Aviation,01447.3*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=AJO,727145.62938826,4590.381955170542
55,RIR,FLABOB AIRPORT,FLABOB,Riverside/rubidoux/,Riverside,Regional,REGIONAL,Not a NPIAS Facility,02113.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=RIR,470812.69618527,3866.211401514093
56,A28,FORT BIDWELL AIRPORT,FORT BIDWELL,Fort Bidwell,Modoc,Limited Use,LIMITED USE-Medical Emergency,Not a NPIAS Facility,01578.9*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=A28,199117.543414435,3512.8189976517424
57,SEE,GILLESPIE FIELD AIRPORT,GILLESPIE FIELD,San Diego/El Cajon,San Diego,Regional,REGIONAL-Business/Corporate,Reliever,02165.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=SEE,1893369.45663373,8400.586908557769
58,APC,NAPA COUNTY AIRPORT,NAPA COUNTY,Napa,Napa,Regional,REGIONAL-Business/Corporate,Reliever,01933.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=APC,4339655.383297115,9623.953054235855
59,RNM,RAMONA AIRPORT,RAMONA,Ramona,San Diego,Regional,REGIONAL,Reliever,02078.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=RNM,1338993.797123475,6278.682713692002
60,RIU,RANCHO MURIETA AIRPORT,RANCHO MURIETA,Rancho Murieta,Sacramento,Community,COMMUNITY,General Aviation,02078.751*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=RIU,429517.713682125,4554.383231304166
61,RBL,RED BLUFF MUNICIPAL AIRPORT,RED BLUFF MUNI,Red Bluff,Tehama,Community,COMMUNITY,General Aviation,02085.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=RBL,4429160.925145135,11470.655940815263
62,RAL,RIVERSIDE MUNICIPAL AIRPORT,RIVERSIDE MUNI,Riverside,Riverside,Regional,REGIONAL-Business/Corporate,Reliever,02112.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=RAL,2093115.450572555,8246.382730495337
63,SAS,SALTON SEA AIRPORT,SALTON SEA,Salton City,Imperial,Limited Use,LIMITED USE,Not a NPIAS Facility,02139.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=SAS,492656.445483625,4878.88965959981
64,SBD,SAN BERNARDINO INTERNATIONAL AIRPORT,SAN BERNARDINO INT'L,San Bernardino,San Bernardino,Regional,REGIONAL-Business/Corporate,Reliever,02154.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=SBD,8436453.829571135,15092.685361725416
65,SMO,SANTA MONICA MUNICIPAL AIRPORT,SANTA MONICA MUNI,Santa Monica,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02253.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=SMO,1136259.68754039,5770.033174350281
66,A30,SCOTT VALLEY AIRPORT - BUD DAVIS FIELD,SCOTT VALLEY,Fort Jones,Siskiyou,Community,COMMUNITY,General Aviation,01583.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=A30,406529.48328443,3851.03275429914
67,SIY,SISKIYOU COUNTY AIRPORT,SISKIYOU COUNTY,Montague,Siskiyou,Community,COMMUNITY,General Aviation,01906.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=SIY,7013590.69733371,14424.460451800907
68,APV,APPLE VALLEY AIRPORT,APPLE VALLEY,Apple Valley,San Bernardino,Regional,REGIONAL-Business/Corporate,General Aviation,01248.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=APV,4762201.273399055,16670.177340487404
69,BNG,BANNING MUNICIPAL AIRPORT,BANNING MUNI,Banning,Riverside,Community,COMMUNITY,General Aviation,01297.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=BNG,819839.558075925,6368.39240651358
70,BIH,EASTERN SIERRA REGIONAL AIRPORT,EASTERN SIERRA REGIONAL,Bishop,Inyo,Regional,REGIONAL-Business/Corporate,General Aviation,01327.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=BIH,5294649.80320522,10445.553941566392
71,BLU,BLUE CANYON AIRPORT,BLUE CANYON,Emigrant Gap,Placer,Limited Use,LIMITED USE-Firefighting,Not a NPIAS Facility,01548.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=BLU,1173539.92877401,5134.342451200793
72,BLH,BLYTHE AIRPORT,BLYTHE,Blythe,Riverside,Community,COMMUNITY,General Aviation,01336.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=BLH,21534672.793571346,19674.765513695787
73,CCR,BUCHANAN FIELD AIRPORT,BUCHANAN FIELD,Concord,Contra Costa,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01437.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=CCR,3219211.75471781,7833.3775375657815
74,C83,BYRON AIRPORT,BYRON,Byron,Contra Costa,Community,COMMUNITY-Recreation,Reliever,01356.5*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=C83,7899810.203087565,14730.605942471517
75,CCB,CABLE AIRPORT,CABLE,Upland,San Bernardino,Regional,REGIONAL,Reliever,02385.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=CCB,662033.714846795,4995.328310450894
76,CPU,CALAVERAS CO./MAURY RASMUSSEN AIRPORT,CALAVERAS CO.,San Andreas,Calaveras,Community,COMMUNITY,General Aviation,02141.11*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=CPU,610512.780705205,4653.250028680459
77,CXL,CALEXICO INTERNATIONAL AIRPORT,CALEXICO INT'L,Calexico,Imperial,Community,COMMUNITY,General Aviation,01358.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=CXL,1627676.672643175,6639.704490012979
78,CMA,CAMARILLO AIRPORT,CAMARILLO,Camarillo,Ventura,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01369.1*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=CMA,3893953.94702181,12024.696566658855
79,AVX,CATALINA AIRPORT,CATALINA,Avalon,Los Angeles,Community,COMMUNITY-Recreation,General Aviation,01276.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=AVX,288283.121069835,3607.5891741459923
80,CNO,CHINO AIRPORT,CHINO,Chino,San Bernardino,Regional,REGIONAL-Business/Corporate,Reliever,01398.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=CNO,6318101.16127127,10853.470627795623
81,CLR,CLIFF HATFIELD MEMORIAL AIRPORT,CLIFF HATFIELD MEMORIAL,Calipatria,Imperial,Community,COMMUNITY-Agriculture,Not a NPIAS Facility,01363.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=CLR,1070854.063552205,4824.995859624503
82,CPM,COMPTON/WOODLEY AIRPORT,COMPTON WOODLEY,Compton,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01434.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=CPM,432317.79766792,3538.6970927961706
83,CRO,CORCORAN AIRPORT,CORCORAN,Corcoran,Kings,Community,COMMUNITY-Agriculture,Not a NPIAS Facility,01439.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=CRO,1409030.29095523,4856.823537612937
84,F62,HAYFORK AIRPORT,HAYFORK,Hayfork,Trinity,Community,COMMUNITY,General Aviation,01650.01*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=F62,852241.326822685,5824.110463967235
85,H47,HYAMPOM AIRPORT,HYAMPOM,Hyampom,Trinity,Community,COMMUNITY,Not a NPIAS Facility,01678.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=H47,262084.829437215,3254.916879489584
86,O54,LONNIE POOL FIELD-WEAVERVILLE,LONNIE POOL FIELD,Weaverville,Trinity,Community,COMMUNITY-Recreation,General Aviation,02431.1*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O54,456904.671632895,4859.367224631235
87,C80,NEW COALINGA MUNICIPAL AIRPORT,NEW COALINGA MUNI,Coalinga,Fresno,Community,COMMUNITY,General Aviation,01419.13*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=C80,6156283.071116665,12420.191393482379
88,REI,REDLANDS MUNICIPAL AIRPORT,REDLANDS MUNI,Redlands,San Bernardino,Regional,REGIONAL-Business/Corporate,General Aviation,02092.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=REI,1055238.4347424,5449.428435168852
89,RHV,REID HILLVIEW AIRPORT,REID HILLVIEW,San Jose,Santa Clara,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02203.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=RHV,1013776.42940641,5138.561649191133
90,E16,SOUTH COUNTY AIRPORT,SOUTH COUNTY,San Martin,Santa Clara,Regional,REGIONAL,Reliever,02213.4*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=E16,1142215.07769469,6622.172563301594
91,O86,TRINITY CENTER/JAMES E. SWETT AIRPORT,TRINITY CENTER,Trinity Center,Trinity,Community,COMMUNITY-Recreation,General Aviation,02362.1*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O86,394017.39385318,4124.345715504983
92,D83,BOONVILLE AIRPORT,BOONVILLE,Boonville,Mendocino,Community,COMMUNITY,General Aviation,01340.25*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=D83,152847.660940645,2888.79300410765
93,BWC,BRAWLEY MUNICIPAL AIRPORT,BRAWLEY MUNI,Brawley,Imperial,Community,COMMUNITY,General Aviation,01342.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=BWC,744630.836867,4720.640444646201
94,DLO,DELANO MUNICIPAL AIRPORT,DELANO MUNI,Delano,Kern,Regional,REGIONAL,General Aviation,01497.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=DLO,2935149.16764326,8157.477896648415
95,D63,DINSMORE AIRPORT,DINSMORE,Dinsmore,Humboldt,Limited Use,LIMITED USE-Firefighting,General Aviation,01508.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=D63,159106.170459615,3227.6763814620053
96,EMT,EL MONTE AIRPORT,EL MONTE,El Monte,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01539.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=EMT,635773.942573925,5041.521296869965
97,F34,FIREBAUGH AIRPORT,FIREBAUGH,Firebaugh,Fresno,Community,COMMUNITY-Agriculture,General Aviation,01570.41*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=F34,236096.154748675,3467.6812216056546
98,F72,FRANKLIN FIELD AIRPORT,FRANKLIN FIELD,Franklin,Sacramento,Community,COMMUNITY-Agriculture,General Aviation,01588.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=F72,3263059.75681925,8378.944003128066
99,F70,FRENCH VALLEY AIRPORT,FRENCH VALLEY,Murrieta/Temecula,Riverside,Regional,REGIONAL-Business/Corporate,General Aviation,01931.6*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=F70,1674955.115178325,10155.94552045117
100,FCH,FRESNO CHANDLER EXECUTIVE AIRPORT,FRESNO CHANDLER EXECUTIVE,Fresno,Fresno,Regional,REGIONAL-Business/Corporate,Reliever,01590.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=FCH,1060861.351507635,4833.085082759229
101,E36,GEORGETOWN AIRPORT,GEORGETOWN,Georgetown,El Dorado,Community,COMMUNITY,General Aviation,01608.7*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=E36,992265.79363956,5558.6031392900895
102,DVO,GNOSS FIELD AIRPORT,GNOSS FIELD,Novato,Marin,Regional,REGIONAL-Business/Corporate,Reliever,01967.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=DVO,806664.415050235,6162.304040584333
103,EKA,MURRAY FIELD AIRPORT,MURRAY FIELD,Eureka,Humboldt,Regional,REGIONAL,General Aviation,01560.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=EKA,868061.811772305,4228.450782259427
104,EED,NEEDLES AIRPORT,NEEDLES,Needles,San Bernardino,Regional,REGIONAL,General Aviation,01938.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=EED,4783355.85047026,13672.952984934233
105,E55,OCEAN RIDGE AIRPORT,OCEAN RIDGE,Gualala,Mendocino,Community,COMMUNITY,Not a NPIAS Facility,01635.85*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=E55,805321.379818455,4454.911907399414
106,E45,PINE MOUNTAIN LAKE AIRPORT,PINE MOUNTAIN LAKE,Groveland,Tuolumne,Community,COMMUNITY-Recreation,General Aviation,01635.61*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=E45,334928.215387975,4429.153881605708
107,D86,SEQUOIA FIELD,SEQUOIA FIELD,Visalia,Tulare,Community,COMMUNITY-Agriculture,General Aviation,01509.1*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=D86,863179.85757684,4353.44921650309
108,E79,SIERRA SKY PARK AIRPORT,SIERRA SKY PARK,Fresno,Fresno,Community,COMMUNITY,Not a NPIAS Facility,01591.5*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=E79,201685.605250645,2711.7856420401918
109,EDU,UNIVERSITY AIRPORT,UNIVERSITY,Davis,Yolo,Community,COMMUNITY,General Aviation,01488.1*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=EDU,532210.2950584,4192.455473108171
110,DWA,YOLO COUNTY-DAVIS WOODLAND WINTERS AIRPORT,YOLO COUNTY,Davis/Woodland/Winters,Yolo,Community,COMMUNITY-Agriculture,General Aviation,01488.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=DWA,3272714.43204099,8449.850856686233
111,AUN,AUBURN MUNICIPAL AIRPORT,AUBURN MUNI,Auburn,Placer,Regional,REGIONAL-Business/Corporate,General Aviation,01273.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=AUN,1847052.474091305,7149.727312816571
112,L45,BAKERSFIELD MUNICIPAL AIRPORT,BAKERSFIELD MUNI,Bakersfield,Kern,Regional,REGIONAL,General Aviation,01289.1*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L45,1052638.50406899,5860.542586314582
113,DAG,BARSTOW-DAGGETT AIRPORT,BARSTOW-DAGGETT,Daggett,San Bernardino,Regional,REGIONAL,General Aviation,01479.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=DAG,6347469.03301637,10916.316311340659
114,L08,BORREGO VALLEY AIRPORT,BORREGO VALLEY,Borrego Springs,San Diego,Community,COMMUNITY,General Aviation,01340.3*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L08,1147423.047932325,6254.939132977131
115,POC,BRACKETT FIELD AIRPORT,BRACKETT FIELD,La Verne,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01757.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=POC,1500490.130532615,6524.594556903745
116,L18,FALLBROOK COMMUNITY AIRPARK,FALLBROOK COMMUNITY AIRPARK,Fallbrook,San Diego,Community,COMMUNITY,General Aviation,01568.5*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L18,1686418.78053789,5538.077001859699
117,FUL,FULLERTON MUNICIPAL AIRPORT,FULLERTON MUNI,Fullerton,Orange,Regional,REGIONAL-Business/Corporate,Reliever,01593.*A,12,http://www.gcr1.com/5010web/airport.cfm?Site=FUL,508989.37647412,3992.8394624398934
118,L06,FURNACE CREEK AIRPORT,FURNACE CREEK,Death Valley National Park,Inyo,Community,COMMUNITY-Recreation,Not a NPIAS Facility,01494.61*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=L06,2100752.162684655,9678.109781295801
119,HAF,HALF MOON BAY AIRPORT,HALF MOON BAY,Half Moon Bay,San Mateo,Regional,REGIONAL,Reliever,01638.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=HAF,2228755.111533105,10043.895852064183
120,HJO,HANFORD MUNICIPAL AIRPORT,HANFORD MUNI,Hanford,Kings,Regional,REGIONAL,General Aviation,01641.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=HJO,1692143.91298062,7719.266668780158
121,HHR,JACK NORTHROP FIELD/HAWTHORNE MUNICIPAL AIRPORT,JACK NORTHROP FIELD,Hawthorne,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01647.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=HHR,516365.24741895,5665.057329929771
122,HWD,HAYWARD EXECUTIVE AIRPORT,HAYWARD EXECUTIVE,Hayward,Alameda,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01651.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=HWD,3211740.136895375,10449.92494029899
123,HES,HEALDSBURG MUNICIPAL AIRPORT,HEALDSBURG MUNI,Healdsburg,Sonoma,Community,COMMUNITY,General Aviation,01651.7*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=HES,312735.432803135,3392.0668133991994
124,HMT,HEMET-RYAN AIRPORT,HEMET - RYAN,Hemet,Riverside,Regional,REGIONAL-Business/Corporate,General Aviation,01654.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=HMT,1992031.593537875,6635.432243863236
125,L26,HESPERIA AIRPORT,HESPERIA,Hesperia,San Bernardino,Community,COMMUNITY,Not a NPIAS Facility,01662.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L26,151951.157999465,3407.6724913972653
126,PTV,PORTERVILLE MUNICIPAL AIRPORT,PORTERVILLE MUNI,Porterville,Tulare,Regional,REGIONAL,General Aviation,02062.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=PTV,3420582.450967185,9780.79108591449
127,L36,RIO LINDA AIRPORT,RIO LINDA,Rio Linda,Sacramento,Community,COMMUNITY,Not a NPIAS Facility,02110.4*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=L36,306023.267075865,3538.6634161572306
128,FOT,ROHNERVILLE AIRPORT,ROHNERVILLE,Fortuna,Humboldt,Regional,REGIONAL,General Aviation,01586.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=FOT,1225386.091461105,6007.080101417606
129,L00,ROSAMOND SKYPARK AIRPORT,ROSAMOND SKYPARK,Rosamond,Kern,Community,COMMUNITY,Not a NPIAS Facility,02116.2*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L00,283506.35449483,3508.5639752126476
130,SAC,SACRAMENTO EXECUTIVE AIRPORT,SACRAMENTO EXECUTIVE,Sacramento,Sacramento,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02127.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=SAC,3476349.8972612,10300.131182240151
131,IZA,SANTA YNEZ AIRPORT,SANTA YNEZ,Santa Ynez,Santa Barbara,Community,COMMUNITY,General Aviation,02264.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=IZA,750712.7238324,4679.034110786489
132,L09,STOVEPIPE WELLS AIRPORT,STOVEPIPE WELLS,Death Valley National Park,Inyo,Limited Use,LIMITED USE-Recreation,Not a NPIAS Facility,01494.62*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=L09,122495.920843315,3026.828395876723
133,L17,TAFT AIRPORT,TAFT,Taft,Kern,Community,COMMUNITY,General Aviation,02338.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L17,500625.484628045,3793.317758037146
134,L19,WASCO-KERN AIRPORT,WASCO - KERN,Wasco,Kern,Community,COMMUNITY,General Aviation,02422.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L19,972298.21221375,4054.5365977485076
135,JAQ,WESTOVER FIELD AMADOR COUNTY AIRPORT,WESTOVER FIELD,Jackson,Amador,Regional,REGIONAL-Business/Corporate,General Aviation,01701.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=JAQ,678235.005713315,4731.107851183513
136,L54,AGUA CALIENTE SPRINGS AIRPORT,AGUA CALIENTE SPRINGS,Agua Caliente Springs,San Diego,Limited Use,LIMITED USE,Not a NPIAS Facility,01218.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L54,355466.09721148,4137.144569357993
137,M45,ALPINE COUNTY AIRPORT,ALPINE COUNTY,Markleeville,Alpine,Limited Use,LIMITED USE,Not a NPIAS Facility,01866.4*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=M45,1994936.94787632,7872.344175716472
138,L35,BIG BEAR CITY AIRPORT,BIG BEAR CITY,Big Bear City,San Bernardino,Regional,REGIONAL,General Aviation,01323.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L35,667015.293642825,5553.729480962267
139,L71,CALIFORNIA CITY MUNICIPAL AIRPORT,CALIFORNIA CITY MUNI,California City,Kern,Community,COMMUNITY-Recreation,General Aviation,01360.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L71,1365144.837084635,7970.619116230665
140,MER,CASTLE AIRPORT,CASTLE,Atwater,Merced,Community,COMMUNITY,General Aviation,01270.6*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=MER,8731944.88974291,18346.800215020765
141,L77,CHIRIACO SUMMIT AIRPORT,CHIRIACO SUMMIT,Chiriaco Summit,Riverside,Limited Use,LIMITED USE,Not a NPIAS Facility,01399.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L77,3297676.150007135,8206.733811516195
142,O22,COLUMBIA AIRPORT,COLUMBIA,Columbia,Tuolumne,Regional,REGIONAL-Recreation,General Aviation,01429.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O22,2412914.55585554,12169.571999178064
143,O08,COLUSA COUNTY AIRPORT,COLUSA COUNTY,Colusa,Colusa,Community,COMMUNITY,General Aviation,01431.1*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O08,584678.5694888,4453.973769554713
144,L62,ELK HILLS-BUTTONWILLOW AIRPORT,ELK HILLS-BUTTONWILLOW,Buttonwillow,Kern,Limited Use,LIMITED USE,Not a NPIAS Facility,01356.1*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L62,1072166.052472875,5656.84022536436
145,O33,EUREKA MUNICIPAL AIRPORT,EUREKA MUNI,Eureka,Humboldt,Community,COMMUNITY,Not a NPIAS Facility,01561.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O33,4074287.848311135,10979.103745744116
146,O16,GARBERVILLE AIRPORT,GARBERVILLE,Garberville,Humboldt,Community,COMMUNITY,General Aviation,01599.1*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O16,359250.911425745,3270.7071633903593
147,O37,HAIGH FIELD AIRPORT,HAIGH FIELD,Orland,Glenn,Community,COMMUNITY,General Aviation,01995.8*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O37,2756659.34584138,7811.752579726253
148,H37,HERLONG AIRPORT,HERLONG,Herlong,Lassen,Limited Use,LIMITED USE,Not a NPIAS Facility,01661.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=H37,156742.133614755,3088.7368089486577
149,O21,HOOPA AIRPORT,HOOPA,Hoopa,Humboldt,Limited Use,LIMITED USE,General Aviation,01674.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O21,282487.113635135,2772.365973899814
150,L78,JACUMBA AIRPORT,JACUMBA,Jacumba,San Diego,Limited Use,LIMITED USE,Not a NPIAS Facility,01704.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L78,713474.580770365,4510.533638278208
151,O20,KINGDON AIRPARK AIRPORT,KINGDON AIRPARK,Lodi,San Joaquin,Limited Use,LIMITED USE-Agriculture,Not a NPIAS Facility,01783.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O20,270545.05036595,3735.9356837874643
152,O19,KNEELAND AIRPORT,KNEELAND,Eureka,Humboldt,Community,COMMUNITY-Firefighting,General Aviation,01559.1*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O19,99652.02895625,2395.307245978871
153,O24,LEE VINING AIRPORT,LEE VINING,Lee Vining,Mono,Limited Use,LIMITED USE-Recreation,General Aviation,01764.1*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=O24,419771.715683155,5223.752325214318
154,LHM,LINCOLN REGIONAL AIRPORT / KARL HARDER FIELD,LINCOLN REGIONAL,Lincoln,Placer,Regional,REGIONAL-Business/Corporate,Reliever,01772.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=LHM,5303905.33289881,12868.457415023073
155,LVK,LIVERMORE MUNICIPAL AIRPORT,LIVERMORE MUNI,Livermore,Alameda,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01779.2*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=LVK,4243076.315546685,15791.771479335024
